Job Title,Company,Location,Link,Source Company
Quality Engineer I/II - Space Systems,PSC by Rocket Lab,"Long Beach, CA",https://www.linkedin.com/jobs/view/quality-engineer-i-ii-space-systems-at-psc-by-rocket-lab-4190271213?position=1&pageNum=0&refId=AS7GLAxOOHtWgFIhpuoJcA%3D%3D&trackingId=1IlaQw3m3KynXZCv51p3cw%3D%3D,Rocket Lab
Quality Engineer I / II - Neutron,PSC by Rocket Lab,"Long Beach, CA",https://www.linkedin.com/jobs/view/quality-engineer-i-ii-neutron-at-psc-by-rocket-lab-4190266556?position=2&pageNum=0&refId=AS7GLAxOOHtWgFIhpuoJcA%3D%3D&trackingId=q8GFP16Zv8x8Pf0tSsKJOw%3D%3D,Rocket Lab
"Technician I, Production",PSC by Rocket Lab,"Albuquerque, NM",https://www.linkedin.com/jobs/view/technician-i-production-at-psc-by-rocket-lab-4190268487?position=3&pageNum=0&refId=AS7GLAxOOHtWgFIhpuoJcA%3D%3D&trackingId=BK2NIvhYkRf8eNey876v8g%3D%3D,Rocket Lab
Harness Design Engineer I/II,PSC by Rocket Lab,"Long Beach, CA",https://www.linkedin.com/jobs/view/harness-design-engineer-i-ii-at-psc-by-rocket-lab-4190264879?position=4&pageNum=0&refId=AS7GLAxOOHtWgFIhpuoJcA%3D%3D&trackingId=X5vao%2BlCKU8aAsXhQPs4Jg%3D%3D,Rocket Lab
Quality Engineer I/II - Space Systems,Rocket Lab,"Long Beach, CA",https://www.linkedin.com/jobs/view/quality-engineer-i-ii-space-systems-at-rocket-lab-4191881527?position=5&pageNum=0&refId=AS7GLAxOOHtWgFIhpuoJcA%3D%3D&trackingId=MPbKpqaPACynnJygmZTmpA%3D%3D,Rocket Lab
Avionics Integration Technician - Vehicle Integration,PSC by Rocket Lab,"Middle River, MD",https://www.linkedin.com/jobs/view/avionics-integration-technician-vehicle-integration-at-psc-by-rocket-lab-4190270343?position=6&pageNum=0&refId=AS7GLAxOOHtWgFIhpuoJcA%3D%3D&trackingId=aN3DuQo4C4uE9xkI1B5xHg%3D%3D,Rocket Lab
"Technician I/II, Production",PSC by Rocket Lab,"Albuquerque, NM",https://www.linkedin.com/jobs/view/technician-i-ii-production-at-psc-by-rocket-lab-4190267575?position=7&pageNum=0&refId=AS7GLAxOOHtWgFIhpuoJcA%3D%3D&trackingId=tKGy5Bj8loqJOfIMq%2B%2F52w%3D%3D,Rocket Lab
Quality Engineer I / II - Neutron,Rocket Lab,"Long Beach, CA",https://www.linkedin.com/jobs/view/quality-engineer-i-ii-neutron-at-rocket-lab-4191879670?position=8&pageNum=0&refId=AS7GLAxOOHtWgFIhpuoJcA%3D%3D&trackingId=obr%2BaUz9FgK3CbvKReedVw%3D%3D,Rocket Lab
Test Operations Mechanical Technician I/II,PSC by Rocket Lab,"Mississippi, United States",https://www.linkedin.com/jobs/view/test-operations-mechanical-technician-i-ii-at-psc-by-rocket-lab-4190270330?position=9&pageNum=0&refId=AS7GLAxOOHtWgFIhpuoJcA%3D%3D&trackingId=ph5n%2BfVW7sFq5WxpOIOGcw%3D%3D,Rocket Lab
Mission Integration Engineer,PSC by Rocket Lab,"Long Beach, CA",https://www.linkedin.com/jobs/view/mission-integration-engineer-at-psc-by-rocket-lab-4190266562?position=10&pageNum=0&refId=AS7GLAxOOHtWgFIhpuoJcA%3D%3D&trackingId=yp9I%2Fcb3XLG6xjdhiCQNIg%3D%3D,Rocket Lab
