Job Title,Company,Location,Link,Source Company
Junior CAD Designer,Red Canyon Engineering & Software,"Orlando, FL",https://www.linkedin.com/jobs/view/junior-cad-designer-at-red-canyon-engineering-software-4145154707?position=3&pageNum=0&refId=frhc1Kd%2BG6Vzm%2FXAd5EHrw%3D%3D&trackingId=LNSkgaHsQU12PVck4M3f9A%3D%3D,Maxar Aerospace
Propulsion Test Engineer I,Relativity Space,"Mississippi, United States",https://www.linkedin.com/jobs/view/propulsion-test-engineer-i-at-relativity-space-4181493708?position=2&pageNum=0&refId=2NYJTq5UrSuktg5ztieC3g%3D%3D&trackingId=9tL%2FTJec164OYy%2BEpIyWDg%3D%3D,Relativity Space
Loads & Dynamics Engineer I,Relativity Space,"Long Beach, CA",https://www.linkedin.com/jobs/view/loads-dynamics-engineer-i-at-relativity-space-4173382288?position=3&pageNum=0&refId=2NYJTq5UrSuktg5ztieC3g%3D%3D&trackingId=SW5%2BdqWre3ssopA4t0yiag%3D%3D,Relativity Space
Structures Engineer I,Relativity Space,"Long Beach, CA",https://www.linkedin.com/jobs/view/structures-engineer-i-at-relativity-space-4170325219?position=9&pageNum=0&refId=2NYJTq5UrSuktg5ztieC3g%3D%3D&trackingId=%2FjhnQYTcpahZ1cXCZf1t8A%3D%3D,Relativity Space
Engine Systems Design & Analysis Team- Propulsion Design Engineer I,Relativity Space,"Long Beach, CA",https://www.linkedin.com/jobs/view/engine-systems-design-analysis-team-propulsion-design-engineer-i-at-relativity-space-4181738564?position=17&pageNum=0&refId=2NYJTq5UrSuktg5ztieC3g%3D%3D&trackingId=HPwQ38o6057%2B1qxD%2B62MPw%3D%3D,Relativity Space
Engine Systems & Test Team- Propulsion Test Responsible Engineer I,Relativity Space,"Long Beach, CA",https://www.linkedin.com/jobs/view/engine-systems-test-team-propulsion-test-responsible-engineer-i-at-relativity-space-4138705396?position=27&pageNum=0&refId=2NYJTq5UrSuktg5ztieC3g%3D%3D&trackingId=Weau4kb9XO4TqBOd4%2FWZ2Q%3D%3D,Relativity Space
Mission Integration Engineer,PSC by Rocket Lab,"Long Beach, CA",https://www.linkedin.com/jobs/view/mission-integration-engineer-at-psc-by-rocket-lab-4190266562?position=10&pageNum=0&refId=HkVG8ldKBWfkFjHeYGKLyA%3D%3D&trackingId=4OMY3V9PkWK4YbOANkDIyw%3D%3D,Rocket Lab
Mission Integration Engineer,Rocket Lab,"Long Beach, CA",https://www.linkedin.com/jobs/view/mission-integration-engineer-at-rocket-lab-4191877881?position=21&pageNum=0&refId=HkVG8ldKBWfkFjHeYGKLyA%3D%3D&trackingId=oAOZiySfD2nXEWE9CrjPWA%3D%3D,Rocket Lab
Aerospace Engineering - Assistant Professor,California State Polytechnic University-Pomona,"Pomona, CA",https://www.linkedin.com/jobs/view/aerospace-engineering-assistant-professor-at-california-state-polytechnic-university-pomona-4001994903?position=43&pageNum=0&refId=HkVG8ldKBWfkFjHeYGKLyA%3D%3D&trackingId=YSxUGzErXBSiGTTkSrKYMQ%3D%3D,Rocket Lab
Mission Integration Coordinator,a.i. solutions,"Merritt Island, FL",https://www.linkedin.com/jobs/view/mission-integration-coordinator-at-a-i-solutions-4174776453?position=2&pageNum=0&refId=IbzWGR8FPmQyZ06kOd679Q%3D%3D&trackingId=XQw%2FHMMr0VXlcgtEmBu3BQ%3D%3D,a.i. solutions
Junior Product Analyst,Hippocratic AI,"Palo Alto, CA",https://www.linkedin.com/jobs/view/junior-product-analyst-at-hippocratic-ai-4169754524?position=14&pageNum=0&refId=IbzWGR8FPmQyZ06kOd679Q%3D%3D&trackingId=MWXfJPLEuX3iFBO5jtk1vg%3D%3D,a.i. solutions
Junior Python Engineer - Healthcare AI,Nao Medical,"Arkansas, United States",https://www.linkedin.com/jobs/view/junior-python-engineer-healthcare-ai-at-nao-medical-4164192526?position=18&pageNum=0&refId=IbzWGR8FPmQyZ06kOd679Q%3D%3D&trackingId=T0Ld6Nl%2FeCrbWKFxutK4ag%3D%3D,a.i. solutions
