Job Title,Company,Location,Link,Source Company
Quality Engineer I/II - Space Systems,PSC by Rocket Lab,"Long Beach, CA",https://www.linkedin.com/jobs/view/quality-engineer-i-ii-space-systems-at-psc-by-rocket-lab-4190271213?position=1&pageNum=0&refId=QUpi3lTyKA5z8Q1CqDsZUA%3D%3D&trackingId=37EFzPH25X%2BomEY4YGnLKw%3D%3D,Rocket Lab
"Technician I, Production",PSC by Rocket Lab,"Albuquerque, NM",https://www.linkedin.com/jobs/view/technician-i-production-at-psc-by-rocket-lab-4190268487?position=2&pageNum=0&refId=QUpi3lTyKA5z8Q1CqDsZUA%3D%3D&trackingId=lt5kNR82ZqH21%2ByIX9QDKA%3D%3D,Rocket Lab
Quality Engineer I / II - Neutron,PSC by Rocket Lab,"Long Beach, CA",https://www.linkedin.com/jobs/view/quality-engineer-i-ii-neutron-at-psc-by-rocket-lab-4190266556?position=3&pageNum=0&refId=QUpi3lTyKA5z8Q1CqDsZUA%3D%3D&trackingId=Ay6zsHaw6oVr2TIR8RmfrA%3D%3D,Rocket Lab
Harness Design Engineer I/II,PSC by Rocket Lab,"Long Beach, CA",https://www.linkedin.com/jobs/view/harness-design-engineer-i-ii-at-psc-by-rocket-lab-4190264879?position=4&pageNum=0&refId=QUpi3lTyKA5z8Q1CqDsZUA%3D%3D&trackingId=SUR0BJzu6puHo9TYGVDdYQ%3D%3D,Rocket Lab
Avionics Integration Technician - Vehicle Integration,PSC by Rocket Lab,"Middle River, MD",https://www.linkedin.com/jobs/view/avionics-integration-technician-vehicle-integration-at-psc-by-rocket-lab-4190270343?position=5&pageNum=0&refId=QUpi3lTyKA5z8Q1CqDsZUA%3D%3D&trackingId=vw2dFGrMm8ZeDrd67tcQWA%3D%3D,Rocket Lab
Quality Engineer I/II - Space Systems,Rocket Lab,"Long Beach, CA",https://www.linkedin.com/jobs/view/quality-engineer-i-ii-space-systems-at-rocket-lab-4191881527?position=6&pageNum=0&refId=QUpi3lTyKA5z8Q1CqDsZUA%3D%3D&trackingId=TKYwydCDvppvw8hkoBDRGw%3D%3D,Rocket Lab
"Technician I/II, Production",PSC by Rocket Lab,"Albuquerque, NM",https://www.linkedin.com/jobs/view/technician-i-ii-production-at-psc-by-rocket-lab-4190267575?position=7&pageNum=0&refId=QUpi3lTyKA5z8Q1CqDsZUA%3D%3D&trackingId=xLnsE8pa37fC7WOIfTVSEg%3D%3D,Rocket Lab
Test Operations Mechanical Technician I/II,PSC by Rocket Lab,"Mississippi, United States",https://www.linkedin.com/jobs/view/test-operations-mechanical-technician-i-ii-at-psc-by-rocket-lab-4190270330?position=8&pageNum=0&refId=QUpi3lTyKA5z8Q1CqDsZUA%3D%3D&trackingId=rMyXDNY92NQkSuQOzS6Eyg%3D%3D,Rocket Lab
Mission Integration Engineer,PSC by Rocket Lab,"Long Beach, CA",https://www.linkedin.com/jobs/view/mission-integration-engineer-at-psc-by-rocket-lab-4190266562?position=9&pageNum=0&refId=QUpi3lTyKA5z8Q1CqDsZUA%3D%3D&trackingId=amh9M9esQMj6WDsvjPnzLA%3D%3D,Rocket Lab
Test Operations Electrical Technician I/II,PSC by Rocket Lab,"Mississippi, United States",https://www.linkedin.com/jobs/view/test-operations-electrical-technician-i-ii-at-psc-by-rocket-lab-4190264865?position=10&pageNum=0&refId=QUpi3lTyKA5z8Q1CqDsZUA%3D%3D&trackingId=Lu%2B2K%2FHbqesyqmSHOs0hMw%3D%3D,Rocket Lab
